path	age	gender
common_voice_ko_41105402.mp3	thirties	male_masculine
common_voice_ko_40952191.mp3	thirties	female_feminine
common_voice_ko_37977382.mp3	twenties	male_masculine
common_voice_ko_36326823.mp3	teens	female_feminine
common_voice_ko_41341797.mp3	teens	female_feminine
common_voice_ko_41342328.mp3	teens	female_feminine
common_voice_ko_36331016.mp3	teens	female_feminine
common_voice_ko_36331017.mp3	teens	female_feminine
common_voice_ko_39610437.mp3	twenties	male_masculine
common_voice_ko_39610438.mp3	twenties	male_masculine
common_voice_ko_41668845.mp3	twenties	female_feminine
common_voice_ko_41668884.mp3	twenties	female_feminine
common_voice_ko_41595581.mp3	fifties	female_feminine
common_voice_ko_41595612.mp3	fifties	female_feminine
common_voice_ko_41595641.mp3	fifties	female_feminine
common_voice_ko_39046413.mp3	twenties	male_masculine
common_voice_ko_39046740.mp3	twenties	male_masculine
common_voice_ko_39046869.mp3	twenties	male_masculine
common_voice_ko_39571266.mp3	twenties	male_masculine
common_voice_ko_39571273.mp3	twenties	male_masculine
common_voice_ko_39571277.mp3	twenties	male_masculine
common_voice_ko_37439339.mp3	teens	male_masculine
common_voice_ko_37439340.mp3	teens	male_masculine
common_voice_ko_37439348.mp3	teens	male_masculine
common_voice_ko_41036287.mp3	twenties	female_feminine
common_voice_ko_41036338.mp3	twenties	female_feminine
common_voice_ko_41036344.mp3	twenties	female_feminine
common_voice_ko_40495304.mp3	twenties	male_masculine
common_voice_ko_40495307.mp3	twenties	male_masculine
common_voice_ko_40495333.mp3	twenties	male_masculine
common_voice_ko_40495437.mp3	twenties	male_masculine
common_voice_ko_38257689.mp3	thirties	male_masculine
common_voice_ko_38257690.mp3	thirties	male_masculine
common_voice_ko_38257691.mp3	thirties	male_masculine
common_voice_ko_38257692.mp3	thirties	male_masculine
common_voice_ko_37018705.mp3	twenties	male_masculine
common_voice_ko_37018708.mp3	twenties	male_masculine
common_voice_ko_37018718.mp3	twenties	male_masculine
common_voice_ko_37018719.mp3	twenties	male_masculine
common_voice_ko_36474940.mp3	twenties	male_masculine
common_voice_ko_36474948.mp3	twenties	male_masculine
common_voice_ko_36474949.mp3	twenties	male_masculine
common_voice_ko_36655270.mp3	twenties	male_masculine
common_voice_ko_36655271.mp3	twenties	male_masculine
common_voice_ko_36655273.mp3	twenties	male_masculine
common_voice_ko_36655275.mp3	twenties	male_masculine
common_voice_ko_39081982.mp3	twenties	male_masculine
common_voice_ko_39082000.mp3	twenties	male_masculine
common_voice_ko_39082057.mp3	twenties	male_masculine
common_voice_ko_39082076.mp3	twenties	male_masculine
common_voice_ko_39082078.mp3	twenties	male_masculine
common_voice_ko_39082124.mp3	twenties	male_masculine
common_voice_ko_39476318.mp3	thirties	female_feminine
common_voice_ko_39476322.mp3	thirties	female_feminine
common_voice_ko_39476325.mp3	thirties	female_feminine
common_voice_ko_39476326.mp3	thirties	female_feminine
common_voice_ko_39476327.mp3	thirties	female_feminine
common_voice_ko_39476341.mp3	thirties	female_feminine
common_voice_ko_39476345.mp3	thirties	female_feminine
common_voice_ko_39476347.mp3	thirties	female_feminine
common_voice_ko_38998445.mp3	twenties	female_feminine
common_voice_ko_38998472.mp3	twenties	female_feminine
common_voice_ko_38998489.mp3	twenties	female_feminine
common_voice_ko_38998565.mp3	twenties	female_feminine
common_voice_ko_38998567.mp3	twenties	female_feminine
common_voice_ko_38998599.mp3	twenties	female_feminine
common_voice_ko_38998622.mp3	twenties	female_feminine
common_voice_ko_38998743.mp3	twenties	female_feminine
common_voice_ko_38998784.mp3	twenties	female_feminine
common_voice_ko_38998787.mp3	twenties	female_feminine
common_voice_ko_36802408.mp3	teens	male_masculine
common_voice_ko_36802409.mp3	teens	male_masculine
common_voice_ko_36802412.mp3	teens	male_masculine
